"Brand,""Sottobrand"",""Tipologia"",""EAN"",""COD."",""Descrizione"",""PZ / CRT"",""listino unitario  2025"",""Prezzo netto"""
"Pritt,""Stick"",""PROM"",""4015000416566"",""2924365"",""PRITT Stick 22g - bl 2pz MAXI OFFERTA BTS 2025 Palbox "",""156"",""5.11"",""0"""
"Pritt,""Stick"",""PROM"",""4015000417730"",""2883388"",""PRITT Stick 22g - bl 3+1pz gratis BTS 2025 Cartone"",""12"",""8.73"",""0"""
"Pritt,""Stick"",""PROM"",""4015000417730"",""1567514"",""PRITT Stick 22g - bl 3+1pz gratis BTS 2025 Palbox"",""120"",""8.73"",""0"""
"Pritt,""Stick"",""STD"",""8004630878178"",""2765925"",""PRITT Stick 43g - bl 1pz Cartone"",""12"",""3.80"",""0"""
"Pritt,""Stick"",""STD"",""8004630878178"",""674295"",""PRITT Stick 43g - bl 1pz Palbox"",""120"",""3.80"",""0"""
"Pritt,""Stick"",""PROM"",""4015000416931"",""2796238"",""PRITT Stick 43g - bl 2pz MAXI OFFERTA BTS 2025 Cartone"",""12"",""6.34"",""0"""
"Pritt,""Stick"",""PROM"",""4015000416931"",""2983376"",""PRITT colla Stick 43g - bl 2pz MAXI OFFERTA BTS 2025 Palbox "",""120"",""6.34"",""0"""
"Pritt,""Stick"",""STD"",""8004630878178"",""2765925"",""PRITT Stick 43g - bl 1pz Cartone"",""12"",""3.80"",""0"""
"Pritt,""Stick"",""STD"",""8004630878178"",""674295"",""PRITT Stick 43g - bl 1pz Palbox"",""120"",""3.80"",""0"""
"Pritt,""Speciali"",""STD"",""5010305204138"",""2776968"",""PRITT colla Stick Fun Colors 10g - bl 4 pz  Cartone"",""12"",""6.51"",""0"""
"Pritt,""Speciali"",""STD"",""5010305204138"",""2332577"",""PRITT colla stick Fun Colors 10g - bl 4 pz Strip"",""12"",""6.51"",""0"""
"Pritt,""Speciali"",""STD"",""4015000435710"",""2744164"",""PRITT colla Stick Glitter 20g - bl 2 pz  Cartone"",""12"",""5.72"",""0"""
"Pritt,""Colla Roller"",""STD"",""4015000438377"",""2755698"",""PRITT Colla Roller Compact Permanente 8,4mm - Ocean"",""10"",""3.85"",""0"""
"Pritt,""Vinilica"",""STD"",""8004630898251"",""1869964"",""PRITT Colla Vinilica Universale 100 g Cartone "",""24"",""1.63"",""0"""
"Pritt,""Vinilica"",""STD"",""8004630898282"",""1869963"",""PRITT Colla Vinilica Universale 250 g Cartone"",""24"",""2.59"",""0"""
"Pritt,""Vinilica"",""STD"",""8004630898312"",""1869962"",""PRITT Colla Vinilica Universale 1000 g Cartone"",""12"",""7.43"",""0"""
"Pritt,""Attaccatutto"",""STD"",""8004630017119"",""2755564"",""PRITT colla Universale 20g - Ocean"",""12"",""1.86"",""0"""
"Pritt,""Multitack"",""STD"",""4015000416481"",""2679462"",""PRITT Multitack blister 55 gommini + 50% gratis Cartone"",""24"",""2.43"",""0"""
"Pritt,""Correttore"",""STD"",""5410091323813"",""2751848"",""PRITT correttore Compact 4,2mm singolo"",""10"",""3.75"",""0"""
"Pritt,""Correttore"",""STD"",""3178041321204"",""2755566"",""PRITT correttore Roller Compact 4,2mm bl2 - Ocean"",""10"",""7.10"",""0"""
"Pritt,""Correttore"",""PROM"",""3178041321204"",""2208783"",""PRITT correttore Roller Compact 4,2mm - bl 2 pz BTS 2025 Palbox"",""120"",""7.10"",""0"""
"Pritt,""Correttore"",""STD"",""5410091323820"",""2753732"",""PRITT correttore Roller Compact 6mm bl1 - Ocean"",""10"",""3.87"",""0"""
"Pritt,""Correttore"",""STD"",""5410091323868"",""2755700"",""PRITT correttore Roller ECO Flex 4,2mm bl1 - Cartone"",""10"",""3.95"",""0"""
"Pritt,""Correttore"",""STD"",""8004630887460"",""2754285"",""PRITT correttore Roller Mini 4,2mm 7m bl1 - Ocean"",""10"",""3.06"",""0"""
"Pritt,""Correttore"",""STD"",""4015000416177"",""2679487"",""PRITT correttore Roller Mini 4,2mm 7m astuccio"",""10"",""1.95"",""0"""
"Pritt,""Correttore"",""STD"",""4015000416160"",""2747576"",""PRITT correttore Micro Rolly 5mmx6m - bl 3pz - Ocean "",""10"",""5.35"",""0"""
"Pritt,""Correttore"",""PROM"",""4015000416160"",""2799590"",""PRITT correttore Roller Micro rolly  - bl 2+1 pz BTS 2025 Cartone"",""10"",""5.35"",""0"""
